iter 25," acc, nmi, ri = (0.31246, 0.28074, 0.00078)", loss:0.00078, n_changed_assignment:305, time:570.829
iter 26," acc, nmi, ri = (0.31368, 0.28148, 0.00168)", loss:0.00168, n_changed_assignment:534, time:586.445
iter 27," acc, nmi, ri = (0.3131, 0.28115, 0.00189)", loss:0.00189, n_changed_assignment:421, time:604.198
iter 28," acc, nmi, ri = (0.31292, 0.28127, 0.00316)", loss:0.00316, n_changed_assignment:250, time:620.395
iter 29," acc, nmi, ri = (0.31374, 0.28221, 0.00182)", loss:0.00182, n_changed_assignment:333, time:636.047
iter 30," acc, nmi, ri = (0.31362, 0.28184, 0.00157)", loss:0.00157, n_changed_assignment:320, time:652.169
iter 31," acc, nmi, ri = (0.31356, 0.28164, 0.00313)", loss:0.00313, n_changed_assignment:159, time:668.342
iter 32," acc, nmi, ri = (0.3135, 0.28151, 0.00653)", loss:0.00653, n_changed_assignment:290, time:684.110
iter 33," acc, nmi, ri = (0.31444, 0.28207, 0.00457)", loss:0.00457, n_changed_assignment:284, time:702.921
iter 34," acc, nmi, ri = (0.31374, 0.28189, 0.00199)", loss:0.00199, n_changed_assignment:578, time:718.718
iter 35," acc, nmi, ri = (0.31432, 0.28207, 0.00253)", loss:0.00253, n_changed_assignment:739, time:735.201
iter 36," acc, nmi, ri = (0.31385, 0.28139, 0.00242)", loss:0.00242, n_changed_assignment:475, time:751.129
iter 37," acc, nmi, ri = (0.31403, 0.28079, 0.00121)", loss:0.00121, n_changed_assignment:235, time:768.391
iter 38," acc, nmi, ri = (0.31467, 0.28083, 0.00282)", loss:0.00282, n_changed_assignment:203, time:788.587
iter 39," acc, nmi, ri = (0.31444, 0.28093, 0.00232)", loss:0.00232, n_changed_assignment:271, time:804.414
iter 40," acc, nmi, ri = (0.31397, 0.28083, 0.00123)", loss:0.00123, n_changed_assignment:272, time:821.624
iter 41," acc, nmi, ri = (0.31228, 0.27993, 0.00131)", loss:0.00131, n_changed_assignment:275, time:837.428
